"","X","Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","id","Target","NPTime","audiodur","EarlyStartMessage","TooSlowMessage","Comments","timestamps","xpos","ypos"
"1",7,1657711602,"b366ada8539dc80bf58e51326effa325","PennController",5,0,"experiment","NULL","MouseTracker","mouse","Move","x958y517w1920h1080t1784+0-1t16+0+0t734+0-1t16+0+0t17+0-1t17-1-1t149-1-1t17-6-7t17-4-4t17-6-6t16-12-14t17-33-35t17-34-36t17-38-44t16-32-40t17-39-46t17-20-23t16-20-23t17-21-21t16-18-27t17-27-35t17-23-26t17-39-38t15-17-13t17-13-7t17-11-5t17-5-1t16-5-1t17-6+0t16-5+0t18-3+0t33+0+5t17+0+10t16+1+7t16+1+6t18+2+6t16+3+6t17+5+8t17+2+2t16+1+3t17+2+1t16+1+2t17+1+1t17+1+1t67+2+5t15+1+4t17+1+2t17+0+1t16+1+1t18+0+1t83+0+0",1657711586198,"id",1,967,1967,"false","false","NULL","[0, 1784, 1800, 2534, 2550, 2567, 2584, 2733, 2750, 2767, 2784, 2800, 2817, 2834, 2851, 2867, 2884, 2901, 2917, 2934, 2950, 2967, 2984, 3001, 3016, 3033, 3050, 3067, 3083, 3100, 3116, 3134, 3167, 3184, 3200, 3216, 3234, 3250, 3267, 3284, 3300, 3317, 3333, 3350, 3367, 3434, 3449, 3466, 3483, 3499, 3517, 3600]","[958, 958, 958, 958, 958, 958, 957, 956, 950, 946, 940, 928, 895, 861, 823, 791, 752, 732, 712, 691, 673, 646, 623, 584, 567, 554, 543, 538, 533, 527, 522, 519, 519, 519, 520, 521, 523, 526, 531, 533, 534, 536, 537, 538, 539, 541, 542, 543, 543, 544, 544, 544]","[517, 516, 516, 515, 515, 514, 513, 512, 505, 501, 495, 481, 446, 410, 366, 326, 280, 257, 234, 213, 186, 151, 125, 87, 74, 67, 62, 61, 60, 60, 60, 60, 65, 75, 82, 88, 94, 100, 108, 110, 113, 114, 116, 117, 118, 123, 127, 129, 130, 131, 132, 132]"
"2",12,1657711602,"b366ada8539dc80bf58e51326effa325","PennController",4,0,"experiment","NULL","MouseTracker","mouse","Move","x959y523w1920h1080t2372+3-10t16+7-16t16+4-21t17+1-20t17+2-21t17+1-15t16+0-8t17+0-10t16+0-10t18+0-7t16+1-10t17+1-6t17+3-8t15+2-7t18+2-7t16+3-9t17+3-8t17+4-9t16+5-11t17+9-18t16+9-17t17+10-14t17+6-10t16+6-8t18+5-8t16+4-5t16+4-6t17+3-7t17+2-4t16+0-3t17+1-3t17+2-3t17+1-5t17+2-2t16+0-1t16+1-1t16+1-1t17+2-3t17+4-4t17+5-5t16+6-5t18+3-3t16+2-2t16+1+0",1657711593009,"id",3,755,1970,"false","false","NULL","[0, 2372, 2388, 2404, 2421, 2438, 2455, 2471, 2488, 2504, 2522, 2538, 2555, 2572, 2587, 2605, 2621, 2638, 2655, 2671, 2688, 2704, 2721, 2738, 2754, 2772, 2788, 2804, 2821, 2838, 2854, 2871, 2888, 2905, 2922, 2938, 2954, 2970, 2987, 3004, 3021, 3037, 3055, 3071, 3087]","[959, 962, 969, 973, 974, 976, 977, 977, 977, 977, 977, 978, 979, 982, 984, 986, 989, 992, 996, 1001, 1010, 1019, 1029, 1035, 1041, 1046, 1050, 1054, 1057, 1059, 1059, 1060, 1062, 1063, 1065, 1065, 1066, 1067, 1069, 1073, 1078, 1084, 1087, 1089, 1090]","[523, 513, 497, 476, 456, 435, 420, 412, 402, 392, 385, 375, 369, 361, 354, 347, 338, 330, 321, 310, 292, 275, 261, 251, 243, 235, 230, 224, 217, 213, 210, 207, 204, 199, 197, 196, 195, 194, 191, 187, 182, 177, 174, 172, 172]"
"3",17,1657711602,"b366ada8539dc80bf58e51326effa325","PennController",3,0,"experiment","NULL","MouseTracker","mouse","Move","x959y526w1920h1080t2460+0-2t18-1-12t16-7-14t17-11-17t17-23-40t16-16-24t17-18-27t17-25-32t16-21-21t17-16-17t17-23-24t16-14-15t17-17-15t16-18-18t17-17-17t17-28-22t16-29-20t18-33-19t17-43-18t16-53-17t16-36-14t17-22-14t17-18-15t16-5-4t17-1+0t33-1+0t267+1+0t17+2+2t14+1+1",1657711599018,"id",1,1011,2317,"false","false","NULL","[0, 2460, 2478, 2494, 2511, 2528, 2544, 2561, 2578, 2594, 2611, 2628, 2644, 2661, 2677, 2694, 2711, 2727, 2745, 2762, 2778, 2794, 2811, 2828, 2844, 2861, 2894, 3161, 3178, 3192]","[959, 959, 958, 951, 940, 917, 901, 883, 858, 837, 821, 798, 784, 767, 749, 732, 704, 675, 642, 599, 546, 510, 488, 470, 465, 464, 463, 464, 466, 467]","[526, 524, 512, 498, 481, 441, 417, 390, 358, 337, 320, 296, 281, 266, 248, 231, 209, 189, 170, 152, 135, 121, 107, 92, 88, 88, 88, 88, 90, 91]"
